Row Labels,Sum of PRICE PAID,,
Indian,794500000,,
Chennai Super Kings,126000000,,
All-Rounder,40000000,,
Batter,84000000,,
Wicket-Keeper,2000000,,
Delhi Capitals,88000000,Row Labels,Sum of Sum of PRICE PAID
All-Rounder,10000000,All-Rounder,788500000
Batter,2000000,Batter,442000000
Bowler,2000000,Bowler,940500000
Wicket-Keeper,74000000,Chennai Super Kings,304000000
Gujarat Titans,198000000,Delhi Capitals,190500000
All-Rounder,74000000,Grand Total,2304500000
Bowler,88000000,Gujarat Titans,303000000
Wicket-Keeper,36000000,Indian,794500000
Kolkata Knight Riders,21000000,Kolkata Knight Riders,313500000
All-Rounder,2000000,Lucknow Super Giants,122000000
Batter,7000000,Mumbai Indians,167000000
Bowler,7000000,Overseas,1510000000
Wicket-Keeper,5000000,Punjab Kings,249500000
Lucknow Super Giants,92000000,Rajasthan Royals,143000000
All-Rounder,4000000,Royal Challengers Bengaluru,204000000
Bowler,88000000,Sunrisers Hyderabad,308000000
Mumbai Indians,8000000,Wicket-Keeper,133500000
All-Rounder,6000000,Grand Total,9218000000
Bowler,2000000,,
Punjab Kings,127500000,,
All-Rounder,123500000,,
Batter,2000000,,
Bowler,2000000,,
Rajasthan Royals,60000000,,
All-Rounder,2000000,,
Batter,58000000,,
Royal Challengers Bengaluru,54000000,,
All-Rounder,2000000,,
Batter,2000000,,
Bowler,50000000,,
Sunrisers Hyderabad,20000000,,
Bowler,20000000,,
Overseas,1510000000,,
Chennai Super Kings,178000000,,
All-Rounder,158000000,,
Bowler,20000000,,
Delhi Capitals,102500000,,
Batter,40000000,,
Bowler,50000000,,
Wicket-Keeper,12500000,,
Gujarat Titans,105000000,,
All-Rounder,5000000,,
Bowler,100000000,,
Kolkata Knight Riders,292500000,,
Batter,15000000,,
Bowler,277500000,,
Lucknow Super Giants,30000000,,
All-Rounder,20000000,,
Batter,10000000,,
Mumbai Indians,159000000,,
All-Rounder,65000000,,
Bowler,94000000,,
Punjab Kings,122000000,,
All-Rounder,42000000,,
Batter,80000000,,
Rajasthan Royals,83000000,,
Batter,74000000,,
Bowler,5000000,,
Wicket-Keeper,4000000,,
Royal Challengers Bengaluru,150000000,,
All-Rounder,15000000,,
Bowler,135000000,,
Sunrisers Hyderabad,288000000,,
All-Rounder,220000000,,
Batter,68000000,,
Grand Total,2304500000,,
